Average_unmbiguous,Clade,Species,Treatment,,,
0.088562,A,CNAT,Control,,,
3.619552,B,CNAT,Control,,,
3.27986,C,CNAT,Control,,,
0.189398,D,CNAT,Control,,,
0.1141475,A,CNAT,WP,,,
7.0510875,B,CNAT,WP,,,
3.0175125,C,CNAT,WP,,,
0.1955675,D,CNAT,WP,,,
0.071118,A,MCAV,Control,,,
0.271324,B,MCAV,Control,,,
3.286088,C,MCAV,Control,,,
0.115674,D,MCAV,Control,,,
0.06332,A,MCAV,WP,,,
0.249928,B,MCAV,WP,,,
3.002,C,MCAV,WP,,,
0.114124,D,MCAV,WP,,,
0.0365275,A,OFAV,Control,,,
0.26842,B,OFAV,Control,,,
2.0963375,C,OFAV,Control,,,
0.267815,D,OFAV,Control,,,
0.032436,A,OFAV,WP,,,
0.263724,B,OFAV,WP,,,
2.126848,C,OFAV,WP,,,
0.17857,D,OFAV,WP,,,
0.081394,A,SSID,Control,,,
0.377952,B,SSID,Control,,,
4.054116,C,SSID,Control,,,
0.274754,D,SSID,Control,,,
0.089715,A,SSID,WP,,,
0.2938575,B,SSID,WP,,,
2.9204575,C,SSID,WP,,,
0.215995,D,SSID,WP,,,
57.101418,HOST,CNAT,Control,,,
54.3022825,HOST,CNAT,WP,,,
66.92741,HOST,MCAV,Control,,,
70.158438,HOST,MCAV,WP,,,
56.5765625,HOST,OFAV,Control,,,
56.823176,HOST,OFAV,WP,,,
60.15261,HOST,SSID,Control,,,
62.9714775,HOST,SSID,WP,,,