human_gene_name,human_gene_pfam,tyrosinase_updated_gene_name
NP_000128.1,PF01557.22,
NP_000128.1,PF09298.15,
NP_000178.2,PF04209.17,
NP_000178.2,PF20510.2,
NP_000231.1,PF01262.25,
NP_000231.1,PF01593.28,
NP_000231.1,PF01266.28,
NP_000231.1,PF00890.28,
NP_000231.1,PF01494.23,
NP_000231.1,PF12831.11,
NP_000231.1,PF01134.26,
NP_000231.1,PF03486.18,
NP_000231.1,PF05834.16,
NP_000231.1,PF07687.18,
NP_000231.1,PF06100.15,
NP_000231.1,PF21799.1,
NP_000231.1,PF13450.10,
NP_000231.1,PF13454.10,
NP_000231.1,PF00070.31,
NP_000231.1,PF07992.18,
NP_000231.1,PF13738.10,
NP_000231.1,PF01946.21,
NP_000231.1,PF02254.22,
NP_000344.1,PF00155.25,
NP_000344.1,PF00266.23,
NP_000344.1,PF12897.11,
NP_000344.1,PF01212.25,
NP_000344.1,PF01053.24,
NP_000344.1,PF01041.21,
NP_000344.1,PF07706.16,
NP_000363.1,PF00053.28,"NP_000363.1, XP_015755076.1, XP_002123040.3, XP_022782250.1, NP_035791.1"
NP_000363.1,PF06305.15,"NP_035791.1, NP_000363.1"
NP_000363.1,PF21094.1,"NP_000363.1, NP_035791.1"
NP_000363.1,PF00264.24,"NP_000363.1, NP_035791.1, XP_002123040.3, XP_015755076.1, XP_022782250.1, XP_032218868.1, XP_021339183.1, XP_027042604.1, XP_012564604.2, NP_001292221.1, Mcav_TRINITY_GG_20672_c1_g1_i1.p1, XP_028398038.1, NP_476812.1, XP_316323.3, NP_524760.1, XP_019858846.1, XP_001650638.2, XP_027236657.1"
NP_000538.3,PF03098.19,
NP_000538.3,PF12662.11,
NP_000538.3,PF00008.31,
NP_000538.3,PF12947.11,
NP_000538.3,PF07645.19,
NP_000538.3,PF14670.10,
NP_000538.3,PF12661.11,
NP_000538.3,PF01462.22,
NP_000538.3,PF00084.24,
NP_000541.1,PF06365.16,
NP_000541.1,PF11174.12,
NP_000541.1,PF07974.17,XP_015755076.1
NP_000541.1,PF00053.28,"NP_000363.1, XP_015755076.1, XP_002123040.3, XP_022782250.1, NP_035791.1"
NP_000541.1,PF21314.1,
NP_000541.1,PF00264.24,"NP_000363.1, NP_035791.1, XP_002123040.3, XP_015755076.1, XP_022782250.1, XP_032218868.1, XP_021339183.1, XP_027042604.1, XP_012564604.2, NP_001292221.1, Mcav_TRINITY_GG_20672_c1_g1_i1.p1, XP_028398038.1, NP_476812.1, XP_316323.3, NP_524760.1, XP_019858846.1, XP_001650638.2, XP_027236657.1"
NP_000658.1,PF08240.16,
NP_000658.1,PF00107.30,
NP_000658.1,PF13602.10,
NP_000658.1,PF01262.25,
NP_000658.1,PF16912.9,
NP_000658.1,PF02254.22,
NP_000658.1,PF03721.18,
NP_000659.2,PF08240.16,
NP_000659.2,PF00107.30,
NP_000659.2,PF13602.10,
NP_000659.2,PF01262.25,
NP_000659.2,PF16912.9,
NP_000659.2,PF02254.22,
NP_000659.2,PF03721.18,
NP_000660.1,PF02826.23,
NP_000660.1,PF08240.16,
NP_000660.1,PF00107.30,
NP_000660.1,PF13602.10,
NP_000660.1,PF16912.9,
NP_000660.1,PF02254.22,
NP_000660.1,PF03721.18,
NP_000661.2,PF08240.16,
NP_000661.2,PF00107.30,
NP_000661.2,PF13602.10,
NP_000661.2,PF16912.9,
NP_000661.2,PF03721.18,
NP_000662.3,PF08240.16,
NP_000662.3,PF00107.30,
NP_000662.3,PF13602.10,
NP_000662.3,PF16912.9,
NP_000663.1,PF02826.23,
NP_000663.1,PF08240.16,
NP_000663.1,PF00107.30,
NP_000663.1,PF13602.10,
NP_000663.1,PF00219.22,
NP_000663.1,PF02254.22,
NP_000663.1,PF03721.18,
NP_000684.2,PF00171.26,
NP_000684.2,PF07368.15,
NP_000684.2,PF04936.16,
NP_000684.2,PF05893.18,
NP_000685.1,PF00171.26,
NP_000745.1,PF09445.14,
NP_000745.1,PF13578.10,
NP_000745.1,PF01596.21,
NP_000745.1,PF13847.10,
NP_000745.1,PF02475.20,
NP_000745.1,PF01135.23,
NP_000745.1,PF04989.16,
NP_000778.3,PF01082.24,
NP_000778.3,PF03712.19,
NP_000778.3,PF03351.21,
NP_000781.2,PF00155.25,
NP_000781.2,PF01212.25,
NP_000781.2,PF00282.23,
NP_000889.3,PF01262.25,
NP_000889.3,PF01593.28,
NP_000889.3,PF01266.28,
NP_000889.3,PF00890.28,
NP_000889.3,PF01494.23,
NP_000889.3,PF12831.11,
NP_000889.3,PF01134.26,
NP_000889.3,PF03486.18,
NP_000889.3,PF07991.16,
NP_000889.3,PF05834.16,
NP_000889.3,PF06100.15,
NP_000889.3,PF21799.1,
NP_000889.3,PF13450.10,
NP_000889.3,PF13454.10,
NP_000889.3,PF00070.31,
NP_000889.3,PF07992.18,
NP_000889.3,PF13738.10,
NP_000889.3,PF01946.21,
NP_000889.3,PF02254.22,
NP_001026786.3,PF00171.26,
NP_001026786.3,PF05893.18,
NP_001150.3,PF08541.14,
NP_001150.3,PF01315.26,
NP_001150.3,PF03450.21,
NP_001150.3,PF00941.25,
NP_001150.3,PF00111.31,
NP_001150.3,PF01799.24,
NP_001150.3,PF02738.22,
NP_001150.3,PF20256.2,
NP_001159976.1,PF08240.16,
NP_001159976.1,PF00107.30,
NP_001159976.1,PF16912.9,
NP_001317079.1,PF00171.26,
NP_001317079.1,PF05893.18,
NP_001913.2,PF00053.28,"NP_000363.1, XP_015755076.1, XP_002123040.3, XP_022782250.1, NP_035791.1"
NP_001913.2,PF02529.19,
NP_001913.2,PF00737.24,
NP_001913.2,PF00264.24,"NP_000363.1, NP_035791.1, XP_002123040.3, XP_015755076.1, XP_022782250.1, XP_032218868.1, XP_021339183.1, XP_027042604.1, XP_012564604.2, NP_001292221.1, Mcav_TRINITY_GG_20672_c1_g1_i1.p1, XP_028398038.1, NP_476812.1, XP_316323.3, NP_524760.1, XP_019858846.1, XP_001650638.2, XP_027236657.1"
NP_002070.1,PF00155.25,
NP_002071.2,PF00155.25,
NP_002141.2,PF00903.29,
NP_002141.2,PF13468.10,
NP_002141.2,PF13669.10,
NP_002141.2,PF14696.10,
NP_002406.1,PF01187.22,
NP_002677.1,PF08241.16,
NP_002677.1,PF08242.16,
NP_002677.1,PF13489.10,
NP_002677.1,PF01234.21,
NP_003725.1,PF01179.24,
NP_003725.1,PF02727.20,
NP_003725.1,PF02728.20,
NP_003725.1,PF09248.14,
NP_033720.2,PF17962.5,
NP_033720.2,PF01179.24,
NP_033720.2,PF02727.20,
NP_033720.2,PF02728.20,
NP_033720.2,PF09248.14,
NP_033720.2,PF15699.9,
NP_112485.2,PF01557.22,
NP_665877.1,PF00043.29,
NP_665877.1,PF13410.10,
NP_665877.1,PF14497.10,
NP_665877.1,PF02798.24,
NP_665877.1,PF13409.10,
NP_665877.1,PF13417.10,
NP_665877.1,PF17172.8,
NP_690863.1,PF02737.22,
NP_690863.1,PF01262.25,
NP_690863.1,PF01593.28,
NP_690863.1,PF01266.28,
NP_690863.1,PF14084.10,
NP_690863.1,PF00890.28,
NP_690863.1,PF01494.23,
NP_690863.1,PF12831.11,
NP_690863.1,PF00743.23,
NP_690863.1,PF01134.26,
NP_690863.1,PF06690.15,
NP_690863.1,PF03486.18,
NP_690863.1,PF05834.16,
NP_690863.1,PF06100.15,
NP_690863.1,PF13241.10,
NP_690863.1,PF13450.10,
NP_690863.1,PF13454.10,
NP_690863.1,PF00070.31,
NP_690863.1,PF07992.18,
NP_690863.1,PF13738.10,
NP_690863.1,PF01488.24,
NP_690863.1,PF01946.21,
NP_690863.1,PF00899.25,
NP_690863.1,PF02254.22,
NP_690863.1,PF04820.18,
NP_690863.1,PF03721.18,
NP_954986.2,PF00351.25,
NP_954986.2,PF14368.10,
NP_954986.2,PF21417.1,
NP_954986.2,PF12549.12,