Sample_ID,Host,Disease,Clade
USVI_118_A,PAST,WP,A
UVI_092_B,OANN,WP,B
UVI_094_B,OANN,WP,B
UVI_096_B,OANN,WP,B
UVI_108_B,OFAV,WP,B
UVI_132_B,SSID,WP,B
UVI_092_C,OANN,WP,C
UVI_094_C,OANN,WP,C
UVI_100_C,OFAV,WP,C
UVI_102_C,OFAV,WP,C
UVI_104_C,OFAV,WP,C
UVI_106_C,OFAV,WP,C
UVI_108_C,OFAV,WP,C
USVI_118_C,PAST,WP,C
UVI_132_C,SSID,WP,C
UVI_136_C,SSID,WP,C
UVI_138_C,SSID,WP,C
UVI_106_D,OFAV,WP,D
M_d6_A,MCAV,SCTLD,A
Past_d1_A,PAST,SCTLD,A
Past_d2_A,PAST,SCTLD,A
Past_d3_A,PAST,SCTLD,A
Past_d6_A,PAST,SCTLD,A
Past_d7_A,PAST,SCTLD,A
M_d6_B,MCAV,SCTLD,B
O_d1_B,OANN,SCTLD,B
O_d3_B,OANN,SCTLD,B
O_d6_B,OANN,SCTLD,B
O_d7_B,OANN,SCTLD,B
O_d8_B,OANN,SCTLD,B
Past_d7_B,PAST,SCTLD,B
Pstr_d7_B,PSTR,SCTLD,B
M_d1_C,MCAV,SCTLD,C
M_d3_C,MCAV,SCTLD,C
M_d6_C,MCAV,SCTLD,C
O_d1_C,OANN,SCTLD,C
O_d3_C,OANN,SCTLD,C
O_d6_C,OANN,SCTLD,C
O_d7_C,OANN,SCTLD,C
O_d8_C,OANN,SCTLD,C